modelo,tipo_modelo,variable_objetivo,feature,importance
RandomForestRegressor,regresion_por_separado,CO,AT,0.058767291666574344
RandomForestRegressor,regresion_por_separado,CO,AP,0.03898281685098568
RandomForestRegressor,regresion_por_separado,CO,AH,0.039082598830501865
RandomForestRegressor,regresion_por_separado,CO,AFDP,0.05876519465885002
RandomForestRegressor,regresion_por_separado,CO,GTEP,0.0443329664883268
RandomForestRegressor,regresion_por_separado,CO,TIT,0.5153428549779681
RandomForestRegressor,regresion_por_separado,CO,TAT,0.21570534467128272
RandomForestRegressor,regresion_por_separado,CO,CDP,0.02902093185551053
XGBRegressor,regresion_por_separado,NOX,AT,0.2287261039018631
XGBRegressor,regresion_por_separado,NOX,AP,0.030680740252137184
XGBRegressor,regresion_por_separado,NOX,AH,0.03986886888742447
XGBRegressor,regresion_por_separado,NOX,AFDP,0.0685320794582367
XGBRegressor,regresion_por_separado,NOX,GTEP,0.15883199870586395
XGBRegressor,regresion_por_separado,NOX,TIT,0.2746447026729584
XGBRegressor,regresion_por_separado,NOX,TAT,0.1349465399980545
XGBRegressor,regresion_por_separado,NOX,CDP,0.06376892328262329
XGBRegressor,regresion_por_separado,TEY,AT,0.004129305016249418
XGBRegressor,regresion_por_separado,TEY,AP,0.0001632139174034819
XGBRegressor,regresion_por_separado,TEY,AH,0.00013265556481201202
XGBRegressor,regresion_por_separado,TEY,AFDP,0.0002472781343385577
XGBRegressor,regresion_por_separado,TEY,GTEP,0.0013083602534607053
XGBRegressor,regresion_por_separado,TEY,TIT,0.0044706822372972965
XGBRegressor,regresion_por_separado,TEY,TAT,0.0002912109484896064
XGBRegressor,regresion_por_separado,TEY,CDP,0.9892573356628418
RandomForestRegressor,regresion_multisalida,CO,AT,0.058767291666574344
RandomForestRegressor,regresion_multisalida,CO,AP,0.03898281685098568
RandomForestRegressor,regresion_multisalida,CO,AH,0.039082598830501865
RandomForestRegressor,regresion_multisalida,CO,AFDP,0.05876519465885002
RandomForestRegressor,regresion_multisalida,CO,GTEP,0.0443329664883268
RandomForestRegressor,regresion_multisalida,CO,TIT,0.5153428549779681
RandomForestRegressor,regresion_multisalida,CO,TAT,0.21570534467128272
RandomForestRegressor,regresion_multisalida,CO,CDP,0.02902093185551053
RandomForestRegressor,regresion_multisalida,NOX,AT,0.3908530591387726
RandomForestRegressor,regresion_multisalida,NOX,AP,0.039468810095146835
RandomForestRegressor,regresion_multisalida,NOX,AH,0.04804772528591158
RandomForestRegressor,regresion_multisalida,NOX,AFDP,0.08093280753912198
RandomForestRegressor,regresion_multisalida,NOX,GTEP,0.12524608981141278
RandomForestRegressor,regresion_multisalida,NOX,TIT,0.17059306279849742
RandomForestRegressor,regresion_multisalida,NOX,TAT,0.10629062871920333
RandomForestRegressor,regresion_multisalida,NOX,CDP,0.03856781661193362
RandomForestRegressor,regresion_multisalida,TEY,AT,0.010039947313377076
RandomForestRegressor,regresion_multisalida,TEY,AP,0.0003888277378051518
RandomForestRegressor,regresion_multisalida,TEY,AH,0.00028027352701817134
RandomForestRegressor,regresion_multisalida,TEY,AFDP,0.00044705288413840314
RandomForestRegressor,regresion_multisalida,TEY,GTEP,0.00134843443982711
RandomForestRegressor,regresion_multisalida,TEY,TIT,0.004736406229040572
RandomForestRegressor,regresion_multisalida,TEY,TAT,0.0005123522664489271
RandomForestRegressor,regresion_multisalida,TEY,CDP,0.9822467056023445
XGBRegressor,regresion_multisalida,CO,AT,0.02463747374713421
XGBRegressor,regresion_multisalida,CO,AP,0.022467194125056267
XGBRegressor,regresion_multisalida,CO,AH,0.019119195640087128
XGBRegressor,regresion_multisalida,CO,AFDP,0.03464629128575325
XGBRegressor,regresion_multisalida,CO,GTEP,0.03640935942530632
XGBRegressor,regresion_multisalida,CO,TIT,0.6192480325698853
XGBRegressor,regresion_multisalida,CO,TAT,0.2162032276391983
XGBRegressor,regresion_multisalida,CO,CDP,0.02726932242512703
XGBRegressor,regresion_multisalida,NOX,AT,0.2287261039018631
XGBRegressor,regresion_multisalida,NOX,AP,0.030680740252137184
XGBRegressor,regresion_multisalida,NOX,AH,0.03986886888742447
XGBRegressor,regresion_multisalida,NOX,AFDP,0.0685320794582367
XGBRegressor,regresion_multisalida,NOX,GTEP,0.15883199870586395
XGBRegressor,regresion_multisalida,NOX,TIT,0.2746447026729584
XGBRegressor,regresion_multisalida,NOX,TAT,0.1349465399980545
XGBRegressor,regresion_multisalida,NOX,CDP,0.06376892328262329
XGBRegressor,regresion_multisalida,TEY,AT,0.004129305016249418
XGBRegressor,regresion_multisalida,TEY,AP,0.0001632139174034819
XGBRegressor,regresion_multisalida,TEY,AH,0.00013265556481201202
XGBRegressor,regresion_multisalida,TEY,AFDP,0.0002472781343385577
XGBRegressor,regresion_multisalida,TEY,GTEP,0.0013083602534607053
XGBRegressor,regresion_multisalida,TEY,TIT,0.0044706822372972965
XGBRegressor,regresion_multisalida,TEY,TAT,0.0002912109484896064
XGBRegressor,regresion_multisalida,TEY,CDP,0.9892573356628418
